videoid,year,clip_idx,clip_tot,upload_year,title,clip_name,imdbid
Sv-BxH3SVS8,2012.0,6,10,2019,Les Misérables,One Day More Scene,tt1707386
IsZdfna1LKA,2012.0,8,10,2019,Les Misérables,Javert's Suicide Scene,tt1707386
tdzX5AKWiDw,2019.0,9,10,2019,Downton Abbey,You Are the Future of Downton Scene,tt6398184
mycAsRhAr_M,2019.0,8,10,2019,Downton Abbey,Til We Meet Again Scene,tt6398184
WgXQnXPb-TA,2019.0,3,10,2019,Downton Abbey,Serving Staff Showdown Scene,tt6398184
WgMhaDEPGXo,2019.0,5,10,2019,Downton Abbey,"Goodnight, Mr. Branson Scene",tt6398184
HummNgSGn8k,2019.0,2,10,2019,Downton Abbey,Welcome to  Scene,tt6398184
33uE1YctOf4,2019.0,10,10,2019,Downton Abbey,The Final Dance Scene,tt6398184
bvl-DxX9N8g,2019.0,4,10,2019,Downton Abbey,The Royal Dinner Scene,tt6398184
E0BY209ZNEY,2019.0,1,10,2019,Downton Abbey,The Royal Staff Takeover Scene,tt6398184
q7S2ckr4IkM,2019.0,6,10,2019,Downton Abbey,For the Love of Me Scene,tt6398184
frZrAIZrOI8,2019.0,7,10,2019,Downton Abbey,Farewell to the Royal Staff Scene,tt6398184
A-Ckh0slywY,2019.0,1,10,2019,Abominable,Meeting Everest Scene,tt6324278
GU1zIn2BRN0,2019.0,9,10,2019,Abominable,Bridge Battle Scene,tt6324278
0XLEGFSKVhs,2019.0,5,10,2019,Abominable,Jin's Sprint Scene,tt6324278
eNCK08cInIE,2019.0,6,10,2019,Abominable,Yak Attack! Scene,tt6324278
LCj92toBBBE,2019.0,7,10,2019,Abominable,Magic Boat Chase Scene,tt6324278
ViQZwRewYl8,2019.0,2,10,2019,Abominable,Rooftop Escape Scene,tt6324278
Btywn5TiBNQ,2019.0,10,10,2019,Abominable,Saving Everest Scene,tt6324278
chvjkV0jRh8,2019.0,8,10,2019,Abominable,The Magic Violin Scene,tt6324278
rRUVmTXpPyg,2019.0,4,10,2019,Abominable,Drone Attack Scene,tt6324278
GZiLvbk8fL8,2019.0,3,10,2019,Abominable,Blueberry Bombs Scene,tt6324278
88T3elu2wfE,2012.0,10,10,2019,Les Misérables,Epilogue Scene,tt1707386
ojoC-Kbzpo8,2012.0,7,10,2019,Les Misérables,Do You Hear The People Sing? Scene,tt1707386
deUgUoJ4z5I,2012.0,5,10,2019,Les Misérables,On My Own Scene,tt1707386
ocDL_b6BRE4,2012.0,4,10,2019,Les Misérables,In My Life/A Heart Full of Love Scene,tt1707386
0BM-Q3BDrkw,2012.0,9,10,2019,Les Misérables,Empty Chairs at Empty Tables Scene,tt1707386
9jfRE_FljrE,2012.0,2,10,2019,Les Misérables,The Confrontation Scene,tt1707386
iLN9GLRC5is,2012.0,3,10,2019,Les Misérables,Master of the House Scene,tt1707386
ulJXiB5i_q0,2012.0,1,10,2019,Les Misérables,I Dreamed A Dream Scene,tt1707386
Ok63vpXNhNc,2019.0,1,9,2020,Shazam!,New Superpowers Scene,tt0448115
OfLhd_wJux8,2018.0,9,9,2020,Creed II,Drago Goes Down Scene,tt6343314
TGghm3K1NXQ,2018.0,6,9,2020,Creed II,Broken Ribs Scene,tt6343314
u0RqfETo2ok,2018.0,2,9,2020,Creed II,Heavyweight Championship Scene,tt6343314
oaKjYmfK_Pw,2018.0,5,9,2020,Creed II,Gotta Take the Fight Scene,tt6343314
oqGij9ylbAk,2018.0,1,9,2020,Creed II,Drago's Son Scene,tt6343314
QT2Anb4MY38,2017.0,5,10,2020,Dunkirk,Fighting for the Wheel Scene,tt5013056
jbvQvJV_97M,2019.0,8,9,2020,Shazam!,Shazam vs. Dr. Sivana Scene,tt0448115
UAYL8R2ZPuI,2019.0,2,9,2020,Shazam!,Convenience Store Robbery Scene,tt0448115
g8pt9OoaPlY,2019.0,3,9,2020,Shazam!,Dr. Sivana Attacks Scene,tt0448115
AONuDilRd5k,2019.0,6,9,2020,Shazam!,The Shazam Fam Scene,tt0448115
_nSQhWq7etg,2019.0,7,9,2020,Shazam!,Fighting The Seven Deadly Sins Scene,tt0448115
-W8pOz1fsD0,2019.0,5,9,2020,Shazam!,Playtime's Over Scene,tt0448115
ChIQpmBLPAo,2019.0,4,9,2020,Shazam!,Carnival of Sins Scene,tt0448115
GC6ksHacdXI,2019.0,9,9,2020,Shazam!,Mister Mind Scene,tt0448115
lsa5PDPgJmI,1994.0,7,10,2020,Blankman,Welcome to McDonald's Scene,tt0109288
MGBHNeYbsbg,1994.0,2,10,2020,Blankman,The Pregnant Lady Scene,tt0109288
-mXoZz1dqMQ,1994.0,10,10,2020,Blankman,The City's New Heroes Scene,tt0109288
Jgye_cEhfGQ,1994.0,3,10,2020,Blankman,Protecting the Neighborhood Scene,tt0109288
-jpEsYBH3g4,1994.0,6,10,2020,Blankman,Blowing It Scene,tt0109288
ljAdSzBv0ug,1994.0,5,10,2020,Blankman,The Bank Heist Scene,tt0109288
RFR3AJ-jE88,1994.0,1,10,2020,Blankman,Let the Lady Go Scene,tt0109288
RLbry-3z8yQ,1994.0,8,10,2020,Blankman,Is This the End? Scene,tt0109288
sM1I11qUM44,1994.0,9,10,2020,Blankman,The Jig is Up Scene,tt0109288
RxwUv1BcPwg,1994.0,4,10,2020,Blankman,The Blank Wheel Scene,tt0109288
sSc4Y4Z9lsk,2018.0,4,9,2020,Creed II,Drago's Challenge Scene,tt6343314
9wCiCJ7KDs8,2018.0,7,9,2020,Creed II,The Rematch Begins Scene,tt6343314
ttiEgVcV-Xo,2018.0,3,9,2020,Creed II,Marry Me Scene,tt6343314
b2MEP246DxY,2018.0,8,9,2020,Creed II,What's Your Name? Scene,tt6343314
S3moqQqx3Nk,2017.0,9,10,2020,Dunkirk,Oil Blast Scene,tt5013056
bgS0GPQhzHg,2017.0,8,10,2020,Dunkirk,Home Comes to Them Scene,tt5013056
TIEtN-jVDbg,2017.0,7,10,2020,Dunkirk,The Bodies Come Back Scene,tt5013056
2W3KDB0yHYM,2017.0,2,10,2020,Dunkirk,The First Bombing Scene,tt5013056
K9j6xEBFek4,2017.0,4,10,2020,Dunkirk,The Night Bombing Scene,tt5013056
c5mAaBl_qqk,2017.0,10,10,2020,Dunkirk,All We Did Is Survive Scene,tt5013056
WygmbuU_78c,2017.0,3,10,2020,Dunkirk,Sinking the Medical Ship Scene,tt5013056
X5_GpmLuea4,2017.0,1,10,2020,Dunkirk,Running to the Beach Scene,tt5013056
7ycVIGqnLO8,2017.0,6,10,2020,Dunkirk,Dogfight over the English Channel Scene,tt5013056
cg49Y3jpZsQ,2019.0,9,10,2019,Good Boys,Flying the Drone Home Scene,tt7343762
NYRHTYWWiGU,2019.0,7,10,2019,Good Boys,Running Through Traffic Scene,tt7343762
mlc2UyZdalQ,2019.0,1,10,2019,Good Boys,Kissing Practice Scene,tt7343762
4-BWFsE_TQE,2019.0,8,10,2019,Good Boys,Frat House Fight Scene,tt7343762
i_Rupd9NU4E,2019.0,3,10,2019,Good Boys,Citizen's Arrest! Scene,tt7343762
_0gn0zQx4_s,2019.0,5,10,2019,Good Boys,Dislocated Arm Scene,tt7343762
cV9dlsOzyVc,2019.0,6,10,2019,Good Boys,Stealing Beer Scene,tt7343762
mcerWHb94yo,2019.0,10,10,2019,Good Boys,Thor's Song Scene,tt7343762
uQ_nGVp6x6U,2019.0,2,10,2019,Good Boys,That's a Tampon Scene,tt7343762
UECge-Vi8VA,2019.0,4,10,2019,Good Boys,My Parents' Weapons Scene,tt7343762
j71oHN1i2pU,2019.0,9,10,2019,The Angry Birds Movie 2,Lava Ball Eruption Scene,tt6095472
DXFN60x3vP4,2019.0,8,10,2019,The Angry Birds Movie 2,Great Balls of Ice Scene,tt6095472
YvL_-Awg2gg,2019.0,10,10,2019,The Angry Birds Movie 2,Wittle Sisters Scene,tt6095472
WzAHXnFWd5U,2019.0,7,10,2019,The Angry Birds Movie 2,Dance Off! Scene,tt6095472
e198XToyAkk,2019.0,4,10,2019,The Angry Birds Movie 2,Piggy Gadgetland Scene,tt6095472
A6d0qIZY3Hg,2019.0,2,10,2019,The Angry Birds Movie 2,Getting the Team Together Scene,tt6095472
_bJYiiCvPW4,2019.0,3,10,2019,The Angry Birds Movie 2,Ice Ball Attack Scene,tt6095472
WavZVQM3U00,2019.0,6,10,2019,The Angry Birds Movie 2,Bathroom Heist Scene,tt6095472
480Hw45m9v8,2019.0,5,10,2019,The Angry Birds Movie 2,Eagle's Love Story Scene,tt6095472
WncnbHD-JXI,2019.0,1,10,2019,The Angry Birds Movie 2,Frozen Paradise Scene,tt6095472
MmKlIGkxGyM,2018.0,10,10,2019,The Grinch,I Stole Your Christmas Scene,tt2709692
eVmYZJQxawo,2018.0,8,10,2019,The Grinch,The Christmas Thief Scene,tt2709692
HGZotWs54rU,2018.0,4,10,2019,The Grinch,The Quest for Reindeer Scene,tt2709692
NjUtH1NBFyY,2018.0,3,10,2019,The Grinch,Lighting Whoville's Tree Scene,tt2709692
DmXp6Pm-uLI,2018.0,9,10,2019,The Grinch,A Change of Heart Scene,tt2709692
8coCtKWysGk,2018.0,5,10,2019,The Grinch,Grinch and the Guard Dog Scene,tt2709692
BiPY5_H9EIw,2018.0,2,10,2019,The Grinch,Can't Escape Christmas Scene,tt2709692
ZhqHIrO4ePo,2018.0,6,10,2019,The Grinch,Whipped Cream & Sausages Scene,tt2709692
XMGoOSCbul0,2018.0,1,10,2019,The Grinch,"You're a Mean One, Mr. Grinch Scene",tt2709692
96pSGRvBg3I,2018.0,7,10,2019,The Grinch,Riding in Style Scene,tt2709692
-r_-EnupRXo,2017.0,10,10,2019,mother!,Take My Heart Scene,tt5109784
TcBlM3VLePM,2017.0,2,10,2019,mother!,Horrible Guests Scene,tt5109784
nxc6kwBYFSM,2017.0,7,10,2019,mother!,Where's My Baby? Scene,tt5109784
nXSfDMvXAxw,2017.0,8,10,2019,mother!,We Must Forgive Them Scene,tt5109784
eGXnEeW_KdA,2017.0,4,10,2019,mother!,The Police Raid Scene,tt5109784
rQ3Qokn9t_w,2017.0,3,10,2019,mother!,Radicalized Fans Scene,tt5109784
iJDnG2RAlzk,2017.0,9,10,2019,mother!,Purged in Flame Scene,tt5109784
iPcAns5pKVw,2017.0,6,10,2019,mother!,The Agony of Birth Scene,tt5109784
iGsce-w4TtY,2017.0,5,10,2019,mother!,War Is Hell Scene,tt5109784
lyd4tC8LH1s,2017.0,1,10,2019,mother!,Sibling Brutality Scene,tt5109784
2LwWmJojqvM,1979.0,2,10,2019,La Cage aux Folles,The Parents' Reaction Scene,tt0077288
tXhTaL04ByA,1979.0,5,10,2019,La Cage aux Folles,Just Like John Wayne Scene,tt0077288
mBiT0g4TIYc,1979.0,10,10,2019,La Cage aux Folles,Escaping in Drag Scene,tt0077288
cW7AkQihsa8,1979.0,4,10,2019,La Cage aux Folles,Buttering Toast Like a Man Scene,tt0077288
db1o8mTCBXU,1979.0,6,10,2019,La Cage aux Folles,Albin's Leaving Scene,tt0077288
JYwvFPjJ7dM,1979.0,7,10,2019,La Cage aux Folles,A Real Butler Scene,tt0077288
6RbMqRpNqmY,1979.0,1,10,2019,La Cage aux Folles,You Don't Love Me Anymore Scene,tt0077288
RdpvBc4bahI,1979.0,9,10,2019,La Cage aux Folles,The Ruse is Ruined Scene,tt0077288
9lqv-q15y1c,1979.0,8,10,2019,La Cage aux Folles,"Laurent's ""Mother"" Scene",tt0077288
ATNjQgr7LXc,1979.0,3,10,2019,La Cage aux Folles,He's Getting Married Scene,tt0077288
TfKw3gvxff0,1973.0,9,10,2019,Don't Look Now,The Red Ghost in Fog Scene,tt0069995
ySINkZRkHi0,1973.0,3,10,2019,Don't Look Now,The Spectre of Venice Scene,tt0069995
LWz_6w0paEg,1973.0,4,10,2019,Don't Look Now,Seance of Death Scene,tt0069995
n-2Lxsj7sf4,1973.0,5,10,2019,Don't Look Now,The Church of Doom Scene,tt0069995
JL_tj5M1o-c,1973.0,1,10,2019,Don't Look Now,Drowned in the Pond Scene,tt0069995
r0iSxOsPGl8,1973.0,8,10,2019,Don't Look Now,Fetch Him! Scene,tt0069995
HFTqyXV9Vio,1973.0,2,10,2019,Don't Look Now,The Blind Psychic Scene,tt0069995
CMMzjgpnLGc,1973.0,6,10,2019,Don't Look Now,Fishing a Body Scene,tt0069995
D2JzjzTWMxw,1973.0,7,10,2019,Don't Look Now,Murder Suspect Scene,tt0069995
9zcAqShAXPo,1973.0,10,10,2019,Don't Look Now,Killer in Red Scene,tt0069995
htWhh0DIFgk,1973.0,2,10,2019,Serpico,Police Brutality Scene,tt0070666
9_n15K7rv1Y,1973.0,1,10,2019,Serpico,Bleeding to Death Scene,tt0070666
POLkdKBw3LM,1973.0,5,10,2019,Serpico,"I Love You, Paco! Scene",tt0070666
_1tCmEtAbnw,1973.0,9,10,2019,Serpico,Get Dead Cards Scene,tt0070666
