imdbid,title,year
tt1707386,Les Misérables,2012.0
tt6398184,Downton Abbey,2019.0
tt6324278,Abominable,2019.0
tt0448115,Shazam!,2019.0
tt6343314,Creed II,2018.0
tt5013056,Dunkirk,2017.0
tt0109288,Blankman,1994.0
tt7343762,Good Boys,2019.0
tt6095472,The Angry Birds Movie 2,2019.0
tt2709692,The Grinch,2018.0
tt5109784,Mother!,2017.0
tt0077288,La Cage aux Folles,1978.0
tt0069995,Don't Look Now,1973.0
tt0070666,Serpico,1973.0
tt2561572,Get Hard,2015.0
tt0408306,Munich,2005.0
tt7547410,Dora and the Lost City of Gold,2019.0
tt0071402,Death Wish,1974.0
tt0116225,Escape from L.A.,1996.0
tt0092493,Crocodile Dundee II,1988.0
tt0082782,My Bloody Valentine,1981.0
tt0070016,Charlotte's Web,1973.0
tt0073440,Nashville,1975.0
tt5952594,The Mustang,2019.0
tt0118688,Batman & Robin,1997.0
tt2599716,Jing cha gu shi 2013,2013.0
tt8079248,Yesterday,2019.0
tt4532826,Robin Hood,2018.0
tt5164214,Ocean's Eight,2018.0
tt0058672,Topkapi,1964.0
tt2495118,Yip Man: Jung gik yat zin,2013.0
tt7634968,What Men Want,2019.0
tt6017942,Kin,2018.0
tt0046754,The Barefoot Contessa,1954.0
tt1001526,Megamind,2010.0
tt2888046,Ip Man 3,2015.0
tt1860353,Turbo,2013.0
tt1386932,Ip Man 2,2010.0
tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989.0
tt1220719,Ip Man,2008.0
tt8695030,The Dead Don't Die,2019.0
tt0045920,It Came from Outer Space,1953.0
tt7958736,Ma,2019.0
tt2639336,Greta,2018.0
tt0068909,Man of La Mancha,1972.0
tt10720210,Buzz,2019.0
tt6212136,Paper Year,2018.0
tt7334528,Uncle Drew,2018.0
tt8426112,Pondemonium 3,2018.0
tt6806448,Fast & Furious: Hobbs & Shaw,2019.0
tt8426846,Pondemonium 2,2018.0
tt0092605,Baby Boom,1987.0
tt7207158,Pondemonium,2017.0
tt2872518,The Shack,2017.0
tt0095179,Friday the 13th Part VII: The New Blood,1988.0
tt2992146,Di Renjie: Shen du long wang,2013.0
tt1563742,Overboard,2018.0
tt4795124,How to Be a Latin Lover,2017.0
tt6663582,The Spy Who Dumped Me,2018.0
tt5186608,I Can I Will I Did,2017.0
tt0091080,Friday the 13th Part VI: Jason Lives,1986.0
tt9251598,Penguin League,2019.0
tt0332375,Saved!,2004.0
tt3887158,The Legend of King Solomon,2017.0
tt1846589,Hunter Killer,2018.0
tt7401588,Instant Family,2018.0
tt4530422,Overlord,2018.0
tt0104573,Juice,1992.0
tt0087298,Friday the 13th: The Final Chapter,1984.0
tt0109447,Clifford,1994.0
tt0080487,Caddyshack,1980.0
tt7282468,Burning,2018.0
tt6777338,The Villainess,2017.0
tt7040874,A Simple Favour,2018.0
tt6371588,The Song of Sway Lake,2018.0
tt7752126,Brightburn,2019.0
tt0455857,When a Stranger Calls,2006.0
tt0110367,Little Women,1994.0
tt0046816,The Caine Mutiny,1954.0
tt0060429,Frankie and Johnny,1966.0
tt0060438,A Funny Thing Happened on the Way to the Forum,1966.0
tt0104009,Cool World,1992.0
tt5537600,Susanne Bartsch: On Top,2017.0
tt2066051,Rocketman,2019.0
tt4911996,Goldstone,2016.0
tt2283336,Men in Black: International,2019.0
tt0369441,Fun with Dick and Jane,2005.0
tt6466464,The Monkey King 3,2018.0
tt4591310,Xi you ji zhi: Sun Wukong san da Baigu Jing,2016.0
tt7275200,Fishtales 2,2017.0
tt0092948,Eddie Murphy: Raw,1987.0
tt6212478,American Animals,2018.0
tt6320628,Spider-Man: Far from Home,2019.0
tt6857112,Us,2019.0
tt0155711,Flawless,1999.0
tt2025526,Choi-jong-byeong-gi hwal,2011.0
tt1456661,Jing wu feng yun: Chen Zhen,2010.0
tt1999890,Hell Fest,2018.0
tt0113464,Jeffrey,1995.0
tt3531824,Nerve,2016.0
tt7042862,The Man Who Killed Hitler and Then the Bigfoot,2018.0
tt0083972,Friday the 13th: Part III,1982.0
tt4761916,Unfriended: Dark Web,2018.0
tt8726116,Huan tu,2018.0
tt9251718,Pixy Dragons,2019.0
tt5113040,The Secret Life of Pets 2,2019.0
tt7073518,7 from Etheria,2017.0
tt0418819,Land of the Dead,2005.0
tt0085970,Mr. Mum,1983.0
tt6146586,John Wick: Chapter 3 - Parabellum,2019.0
tt0096256,They Live,1988.0
tt8155288,Happy Death Day 2U,2019.0
tt0289765,Red Dragon,2002.0
tt3281548,Little Women,2019.0
tt5649108,Thoroughbreds,2017.0
tt7287136,Blueprint,2017.0
tt4666228,Propeller,2015.0
tt5968394,Captive State,2019.0
tt0837563,Pet Sematary,2019.0
tt5599818,Kor,2016.0
tt3391782,Everyday Rebellion,2013.0
tt0098084,Pet Sematary,1989.0
tt6428676,Wonder Park,2019.0
tt2267858,You Are Driving Me Crazy,2012.0
tt6495770,Action Point,2018.0
tt0106220,Addams Family Values,1993.0
tt0117894,Thinner,1996.0
tt9428920,Something From Nothing,2016.0
tt5596104,The Ashram,2018.0
tt7014006,Eighth Grade,2018.0
tt3576060,Point and Shoot,2014.0
tt3206798,Lola's Last Letter,2016.0
tt6958014,Duck Butter,2018.0
tt6921996,Johnny English 3,2018.0
tt5610554,Tully,2018.0
tt0397535,Memoirs of a Geisha,2005.0
tt4092422,Love Is Thicker Than Water,2016.0
tt2798920,Annihilation,2018.0
tt7575702,Monsterland 2,2019.0
tt4953610,The Purging Hour,2016.0
tt0114608,Tales from the Crypt: Demon Knight,1995.0
tt7043070,Strange Events,2017.0
tt0455760,Dead Silence,2007.0
tt5886046,Escape Room,2019.0
tt5941692,Miss Bala,2019.0
tt3080844,Crocodile Gennadiy,2015.0
tt5160154,The Pass,2016.0
tt6205872,Assassination Nation,2018.0
tt0864835,Mr. Peabody & Sherman,2014.0
tt2582784,Flower,2017.0
tt0245429,Spirited Away,2001.0
tt5912454,Blue Jay,2016.0
tt0424095,Flushed Away,2006.0
tt2518848,500 MPH Storm,2013.0
tt0120587,Antz,1998.0
tt3120508,Bone Alone,2013.0
tt0110366,The Little Rascals,1994.0
tt6644200,A Quiet Place,2018.0
tt1628841,Independence Day: Resurgence,2016.0
tt4520924,Beauty Mark,2017.0
tt1343092,The Great Gatsby,2013.0
tt3626442,Björk: Biophilia Live,2014.0
tt3986978,Along for the Ride,2016.0
tt1210166,Moneyball,2011.0
tt2401878,Anomalisa,2015.0
tt2385752,Modern Life Is Rubbish,2017.0
tt1230168,Same Kind of Different as Me,2017.0
tt2368619,Bastille Day,2016.0
tt5081618,Sacred Blood,2015.0
tt6857166,Book Club,2018.0
tt5338644,Madame Hyde,2017.0
tt0318155,Looney Tunes: Back in Action,2003.0
tt2991532,The Bell Witch Haunting,2013.0
tt0093756,Police Academy 4: Citizens on Patrol,1987.0
tt6981634,Wanderland,2018.0
tt3597400,Just Eat It: A Food Waste Story,2014.0
tt6149802,The Relationtrip,2017.0
tt5167174,Rainbow Time,2016.0
tt0087928,Police Academy,1984.0
tt1791528,Inherent Vice,2014.0
tt3084904,Ovum,2015.0
tt2439946,40 Days and Nights,2012.0
tt5657846,Daddy's Home 2,2017.0
tt5700672,Train to Busan,2016.0
tt3540136,Zhan lang,2015.0
tt3922754,Ardennes Fury,2014.0
tt6015706,China Salesman,2017.0
tt1068242,Footloose,2011.0
