imdbid,cast
tt1707386,"{'Hugh Jackman': 'Jean Valjean', 'Russell Crowe': 'Javert', 'Anne Hathaway': 'Fantine', 'Amanda Seyfried': 'Cosette', 'Sacha Baron Cohen': 'Thénardier', 'Helena Bonham Carter': 'Madame Thénardier', 'Eddie Redmayne': 'Marius', 'Aaron Tveit': 'Enjolras', 'Samantha Barks': 'Éponine', 'Daniel Huttlestone': 'Gavroche', 'Cavin Cornwall': 'Convict 1', 'Josef Altin': 'Convict 2', 'Dave Hawley': 'Convict 3       (as David Hawley)', 'Adam Jones': 'Convict 4', 'John Barr': 'Convict 5'}"
tt6398184,"{'Michelle Dockery': 'Lady Mary Talbot', 'Imelda Staunton': 'Maud Bagshaw', 'Matthew Goode': 'Henry Talbot', 'Tuppence Middleton': 'Lucy Smith', 'Maggie Smith': 'Violet Crawley', 'Geraldine James': 'Queen Mary', 'Allen Leech': 'Tom Branson', 'Elizabeth McGovern': 'Cora Crawley', 'Joanne Froggatt': 'Anna Bates', 'Mark Addy': 'Mr. Bakewell', 'Kate Phillips': 'Princess Mary', 'Sophie McShera': 'Daisy Mason', 'Laura Carmichael': 'Lady Edith', 'Raquel Cassidy': 'Miss Baxter', 'Susan Lynch': 'Miss Lawton'}"
tt6324278,"{'Chloe Bennet': 'Yi       (voice)', 'Albert Tsai': 'Peng       (voice)', 'Tenzing Norgay Trainor': 'Jin       (voice)', 'Joseph Izzo': 'Everest       (voice)', 'Eddie Izzard': 'Burnish       (voice)', 'Sarah Paulson': 'Dr. Zara       (voice)', 'Tsai Chin': 'Nai Nai       (voice)', 'Michelle Wong': ""Yi's Mom       (voice)"", 'Rich Dietl': 'Goon Leader       (voice) (as Rich B. Dietl)', 'James Hong': 'Yak Leader       (voice)', 'Christine Lin': ""Teenage Girl #1 /              Boy's Mom /              Female Customer       (voice)"", 'Kym Miller': 'Teenage Girl #2       (voice)', 'Jason Ko': 'Teenage Boy       (voice)', 'Trevor Devall': 'Van Driver /              Goon       (voice)', 'Karen Huie': 'Dog Lady /              Dock Worker /              Goon       (voice)'}"
tt0448115,"{'Zachary Levi': 'Shazam', 'Mark Strong': 'Dr. Sivana', 'Asher Angel': 'Billy Batson', 'Jack Dylan Grazer': 'Freddy Freeman', 'Adam Brody': 'Super Hero Freddy', 'Djimon Hounsou': 'Wizard', 'Faithe Herman': 'Darla Dudley', 'Meagan Good': 'Super Hero Darla', 'Grace Fulton': 'Mary Bromfield', 'Michelle Borth': 'Super Hero Mary', 'Ian Chen': 'Eugene Choi', 'Ross Butler': 'Super Hero Eugene', 'Jovan Armand': 'Pedro Peña', 'D.J. Cotrona': 'Super Hero Pedro', 'Marta Milans': 'Rosa Vasquez'}"
tt6343314,"{'Michael B. Jordan': 'Adonis Johnson', 'Sylvester Stallone': 'Rocky Balboa', 'Tessa Thompson': 'Bianca', 'Phylicia Rashad': 'Mary Anne Creed', 'Dolph Lundgren': 'Ivan Drago', 'Florian Munteanu': ""Viktor Drago       (as Florian 'Big Nasty' Munteanu)"", 'Russell Hornsby': 'Buddy Marcelle', 'Wood Harris': ""Tony 'Little Duke' Burton"", 'Milo Ventimiglia': 'Robert Balboa', 'Robbie Johns': 'Logan Balboa', 'Andre Ward': ""Danny 'Stuntman' Wheeler"", 'Brigitte Nielsen': 'Ludmilla Drago', 'Patrice Harris': ""Padman       (as Patrice 'Boogey' Harris)"", ""Jacob 'Stitch' Duran"": 'Stitch', 'Ana Gerena': ""Adrian's Waitress""}"
tt5013056,"{'Fionn Whitehead': 'Tommy', 'Damien Bonnard': 'French Soldier', 'Aneurin Barnard': 'Gibson', 'Lee Armstrong': 'Grenadier', 'James Bloor': 'Irate Soldier', 'Barry Keoghan': 'George', 'Mark Rylance': 'Mr. Dawson', 'Tom Glynn-Carney': 'Peter', 'Tom Hardy': 'Farrier', 'Jack Lowden': 'Collins', 'Luke Thompson': 'Warrant Officer', 'Michel Biel': 'French Soldier 2', 'Constantin Balsan': 'French Soldier 3', 'Billy Howle': 'Petty Officer', 'Mikey Collins': 'Soldier'}"
tt0109288,"{'Damon Wayans': 'Darryl Walker', 'David Alan Grier': 'Kevin Walker', 'Robin Givens': 'Kimberly Jonz', 'Christopher Lawford': 'Mayor Marvin Harris', 'Lynne Thigpen': 'Grandma Walker', 'Jon Polito': ""Michael 'The Suit' Minelli"", 'Nick Corello': 'Sammy the Blade', 'Jason Alexander': 'Mr. Stone', 'Harris Peet': 'Commissioner Gains', 'Joseph Vassallo': 'Tony the Match       (as Joe Vassallo)', 'Michael Wayans': 'Young Darryl', 'Damon Wayans Jr.': 'Young Kevin', 'John Moschitta Jr.': 'Mr. Crudd', 'Frazer Smith': 'Ned Beadie', 'Mark Schiff': 'Bus Driver'}"
tt7343762,"{'Jacob Tremblay': 'Max', 'Keith L. Williams': 'Lucas', 'Brady Noon': 'Thor', 'Molly Gordon': 'Hannah', 'Midori Francis': 'Lily', 'Izaac Wang': 'Soren', 'Millie Davis': 'Brixlee', 'Josh Caras': 'Benji', 'Will Forte': ""Max's Dad"", 'Mariessa Portelance': ""Max's Mom"", 'Lil Rel Howery': ""Lucas's Dad"", 'Retta': ""Lucas' Mom"", 'Michaela Watkins': 'Saleswoman', 'Christian Darrel Scott': 'Marcus       (as Christian Scott)', 'Macie Juiles': 'Taylor'}"
tt6095472,"{'Jason Sudeikis': 'Red       (voice)', 'Josh Gad': 'Chuck       (voice)', 'Leslie Jones': 'Zeta       (voice)', 'Bill Hader': 'Leonard       (voice)', 'Rachel Bloom': 'Silver       (voice)', 'Awkwafina': 'Courtney       (voice)', 'Sterling K. Brown': 'Garry       (voice)', 'Eugenio Derbez': 'Glenn       (voice)', 'Tiffany Haddish': 'Debbie       (voice)', 'Danny McBride': 'Bomb       (voice)', 'Peter Dinklage': 'Mighty Eagle       (voice)', 'Pete Davidson': 'Jerry       (voice)', 'Zach Woods': 'Carl       (voice)', 'Dove Cameron': 'Ella       (voice)', 'Maya Rudolph': 'Matilda       (voice)'}"
tt2709692,"{'Benedict Cumberbatch': 'The Grinch       (voice)', 'Cameron Seely': 'Cindy-Lou Who       (voice)', 'Rashida Jones': 'Donna Who       (voice)', 'Pharrell Williams': 'Narrator       (voice)', ""Tristan O'Hare"": 'Groopert       (voice)', 'Kenan Thompson': 'Mr. Bricklebaum       (voice)', 'Sam Lavagnino': 'Ozzy       (voice)', 'Ramone Hamilton': 'Axl       (voice)', 'Angela Lansbury': 'Mayor McGerkle       (voice)', 'Scarlett Estevez': 'Izzy       (voice)', 'Michael Beattie': 'Store Clerk       (voice)', 'Lori Alan': 'Additional Voices       (voice)', 'Carlos Alazraqui': 'Additional Voices       (voice)', 'Doug Burch': 'Additional Voices       (voice)', 'Cathy Cavadini': 'Additional Voices       (voice) (as Catherine Cavadini)'}"
