videoid,duration
PK0i_dyx230,83
cGTn7aRFttk,119
Lf6fX3bsCxA,76
zXBPTIjfZgA,132
0JmETteiVzo,133
CqXatBg5LtE,124
pw5Y_7wtJmk,100
_PZ_LyJfYe8,125
-4Q-MS_oFkw,128
RdIAtsbwb00,116
VYQoxBs5N2A,135
mgSQQjO5pwI,65
u73HoUZD7tc,131
Mx9z99YJ_7s,32
8E033uMGU7A,48
TWqf3iE2Gk8,128
7keYfMMBIws,112
IpQkAn4FnkY,70
1-lFBwn6bKg,131
OSc1_gfVfCc,132
YYc1h1Pymto,115
IhZrBku_eCA,143
oN832LNaq4w,127
V5xN-xNvwsw,82
f3tseBsU248,105
Ld2g77JckSk,133
_8GB76HyNNU,132
-TzrPYcpPvY,133
elvtIj_sPwU,133
OYuE4tFH7lc,122
XINddkzfTzM,225
lpwrDEfCESg,132
qdy5TZDOwm0,133
zZi8n49RMGE,123
IuCIhvIAn44,129
xehwopjgKGU,119
0TjrNjcFv_A,133
Z6oLbpQ0S0c,4
Viai9bgo5KM,132
t0R7IRtvvFA,129
9enPC37mHrM,125
qnI0g8RD7Bo,4
2ZiKO3NtZiI,105
0N9Fzv7bYCM,110
8D2TivUo_zU,81
0nfoP3bmd1c,121
9j0tqkW7Bd8,124
YCPDVVLUw-4,132
xaOERHG7Qr8,132
mGf4oL6RLGs,132
BSuaYQdLqV0,102
7tFLFMyA0EI,133
ajvCMC8Na3M,133
xHrOaF4Dq5U,120
pDcPRvZ9sDU,132
j19-hpjJ4ok,133
O1-lkTgl-ws,133
zBjq9UbpCtQ,115
9hEYOiPK79g,260
DebtnaQFX7M,133
YGlqg2jC3R4,197
DwOTJvwKKeU,133
pi6SInyE0sw,128
9mE6UqKoe5Y,105
8WrFOPPepCk,103
0VIefkYf2Rs,133
AJ4edZsgJAk,85
6ZZI6-zh0GM,133
Yc81Un8ltS4,133
gnz7BQ7lxJQ,132
ll5qiWa6YDk,133
sOgO4lPPK1U,132
xSmmiAl9ZWE,132
Yd8gK6EgpLM,117
9CKyWqb5-sw,132
EYKwSLZPwV4,98
PZalnJDYFDk,130
YP-rmIcxn1g,113
IdEekLJJc0o,131
pKN_6Javjnc,132
ipc4KfTrRZs,167
b3Aq5Vc0Ics,95
L-sb2Xeqn14,132
K7vOjKOdMNE,133
5pzJ6qzeXlw,133
3cqeNsSZYh4,130
vmnZ_-Mqb-c,102
LiNFLOs3BfE,91
CXJ8c0rWJsk,132
BpV5wTbvq8M,131
VrRhpEc9Ivk,91
02064E1SHtQ,132
CrMlZldzxSg,166
RGuY5r-7ta4,130
EmeHbU_s7Cg,90
OLhu6bw5EYc,92
2Q9h-B9OVVA,132
ZvMDRj9jFaE,131
8LhpYfjGZvw,128
hg27lxt2IFw,122
J97c0nWkJT4,99
3T-VAi2Xqq8,140
lJiMlgvygvc,132
UOOGD4DLy-0,126
GCOXBnHRdmc,124
uD2mdsAwJBA,132
sqjS__9_Irk,131
W9SemYK9HEw,132
i4h9xcdtyrE,125
ch6zVPr6lWM,116
JbNo_tlgYfs,96
n3_noySdJVs,120
EinsfcAsUoQ,177
M-APah17AQA,133
cACQ2548i0o,132
g5lJIy5IcWc,126
RrrQxZ4j7t8,132
IZGhNReGZTs,128
HLIVYHitYPw,125
sNcBUOlGBcg,133
mAtSvxJe6Yw,147
Fekzb5yWBZk,130
nkelgV49oGQ,123
ks32K99a1RU,91
7E8rxZMCldI,166
TW8ZML5OvXs,85
CTCkd8aEpZ8,168
JZtErr7VLKE,131
94mvgpMi-rQ,178
P6fVrC-RQLg,108
eSBnFu1YnrU,133
Z-GoRxX2exA,132
n9-Wk6ulBuA,77
reIyMTBfEwQ,130
YlwAVV3dC2o,181
plovZLxlpGk,129
Tlfd0Y0SjgA,127
E8LQ1SmVO2M,106
fZAksSuI1R4,99
m9vRMtJDEVU,133
MoInDyDrLKk,107
p8wvEC_cBU4,109
76ftznPZmgk,103
39gtT7pdMwE,115
DWa1IsbsiY4,132
9zUaNKBQ04c,133
DNWODAIBs7s,191
5y719xX1I5U,133
isyFunAeYnQ,119
jepTSaMF2ZM,125
BIPpar64F5o,97
xQOZMIbnpMc,124
_k6CZ13fAMo,21
ZKTMxF2PrHM,128
QHUcubYTt0o,214
cNLFuTms4go,127
2nFh-kxiEng,133
USGs4XhdI6I,133
nQunClrM4co,133
BNCwxQQcXv8,107
qZmteh2hT9A,125
qwsrKRo5gdA,138
jxkpgzL06B4,21
B_DMSu-NVZ8,133
23ZWuWe2riY,130
-dzyuUNTwUo,122
1Jaq36snpLo,175
w3HklXic1eY,133
GlXLG_rF9lg,155
_OpCOSHbqiM,84
xSnraJOeOyM,130
vEnbBgByg98,133
yHox089rkmM,15
ygOrLkyfHsw,125
DTXWi9iR2F0,76
vETxuL7Ij3Q,183
NDW6AQjK3Q0,176
V67ozonzKRQ,131
Z2ixl9gb0uk,133
717gDCZQsdc,134
BVs5TFKigUw,122
Z8E9FEaEm8A,134
qcFM5Xhg8W8,181
iamsdf-VSQI,131
WRtOCCfKEvQ,127
8wDlH8jWxYk,165
eveUzWmTxl4,132
2XuJzaDhV50,130
-7-C6lSAfOs,126
rypwboimK5k,138
-1gCG8m1SHU,131
KOGjVUa_iIE,173
yd13zj2PC1g,135
4XhNhG_zq-A,182
eQ9HJXZI_qU,130
g4v51XeJnkw,128
6NbgGhD4tdk,90
FhDi_WF5uOI,133
VUsdbeBqeeo,84
rNOZMZHDVB8,134
cLmDqUnUEE0,95
0zVmdCICQok,143
k2C9QOtoreY,114
NmNveyfhpBg,84
l0n2Od6zG58,147
P9aAc9ibVWM,132
rpUPWSqadTo,100
LHrkO46ERP8,132
Op0qrTGRcxk,127
qO1-at2DUGU,132
VGQWULimSCg,86
HGdt0QR55Ko,128
FXcu4V-8-j0,76
yO4oRzCAc4k,144
2DM0pOmClOg,132
5nilVcDLNYs,99
JNLW2R5dYOM,164
mIJdrHpr3_Q,77
n7KKfjFRw8w,119
1JDAa0BvD68,122
axqYHL-KPRk,101
qRGre50eHbQ,133
1BUBVkpQQGA,131
emVaK5MoPBg,133
ntQrC5iclmI,132
GB7Cq_W4-U4,132
C4dkYaeNLuc,109
srR56T9-j5M,133
DLuROR8kLy8,118
HznAlPzscvY,15
PykWxPq9JEE,133
YJnneXfx_q8,101
PEnOSwKyrb4,168
_deZCO2ojAo,126
LlQXhEOzLW0,92
B1kQLmi0q5U,132
f5f86alm7jk,130
7qPmEvrv3HQ,132
lk1As4QnaCc,76
OjHsjB_foZI,134
Od2dajJAbEE,78
oRMqBipT26M,130
RYlj-btwi6o,86
x6FDJAu5yMc,141
u0kF24ceZMI,90
lDksLpsqHwQ,160
nOFfrd6bOh0,112
XSa0_MGO8bA,123
cysxO5Z-0L8,110
ok-pfhEHoE8,102
6VUfXGlADjU,133
e5uhElLMLbA,131
YC65XWrNn4s,77
2Ji7Coh4O7E,113
mM2Tc_tYYKk,133
V9aRvKzTOc4,80
GLZXGflTTjA,133
Zh_r3u2RK1Q,133
5tpVvZo9hus,98
yIF3Vr_at5I,122
TyeZy_UPYKM,129
029Mdp9jYiY,139
7rN0Kk3eUSo,127
1Dhr1yiV7DI,21
RywZwxSQcvo,110
WRslUrt2NBg,114
rF1vfMM3W08,248
NeciZ5_hFTY,107
VHSoPTJNfPE,180
