imdbid,genre,country
tt0020629,"['Drama', 'War']",['USA']
tt0020640,"['Comedy', 'Musical']",['USA']
tt0021814,"['Fantasy', 'Horror']",['USA']
tt0021884,"['Drama', 'Horror', 'Sci-Fi']",['USA']
tt0022913,['Drama'],['USA']
tt0023027,"['Comedy', 'Musical', 'Romance']",['USA']
tt0023245,"['Fantasy', 'Horror']",['USA']
tt0023969,"['Comedy', 'Musical', 'War']",['USA']
tt0024184,"['Comedy', 'Horror', 'Sci-Fi']",['USA']
tt0024216,"['Adventure', 'Horror', 'Sci-Fi']",['USA']
tt0025316,"['Comedy', 'Romance']",['USA']
tt0026138,"['Drama', 'Horror', 'Sci-Fi']",['USA']
tt0026714,"['Comedy', 'Fantasy', 'Romance']",['USA']
tt0029947,"['Comedy', 'Family', 'Romance']",['USA']
tt0031381,"['Drama', 'History', 'Romance']",['USA']
tt0031679,"['Comedy', 'Drama']",['USA']
tt0031725,"['Comedy', 'Romance']",['USA']
tt0031867,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0032138,"['Adventure', 'Family', 'Fantasy']",['USA']
tt0032599,"['Comedy', 'Drama', 'Romance']",['USA']
tt0032904,"['Comedy', 'Romance']",['USA']
tt0032976,"['Drama', 'Mystery', 'Romance']",['USA']
tt0033467,"['Drama', 'Mystery']",['USA']
tt0033553,"['Drama', 'Horror', 'Sci-Fi']",['USA']
tt0033804,"['Comedy', 'Romance']",['USA']
tt0033870,"['Film-Noir', 'Mystery']",['USA']
tt0034240,"['Adventure', 'Comedy', 'Drama']",['USA']
tt0034398,['Horror'],['USA']
tt0034583,"['Drama', 'Romance', 'War']",['USA']
tt0034587,"['Fantasy', 'Horror', 'Thriller']",['USA']
tt0035015,"['Drama', 'Romance']",['USA']
tt0035140,"['Drama', 'Romance']",['USA']
tt0035423,"['Comedy', 'Fantasy', 'Romance']",['USA']
tt0036098,"['Adventure', 'Family']",['USA']
tt0036613,"['Comedy', 'Crime', 'Thriller']",['USA']
tt0036775,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0036855,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0037536,['Drama'],['USA']
tt0037913,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0038109,"['Film-Noir', 'Mystery', 'Romance']",['USA']
tt0038650,"['Drama', 'Family', 'Fantasy']",['USA']
tt0039628,"['Comedy', 'Drama', 'Family']",['USA']
tt0040068,"['Comedy', 'Fantasy', 'Horror']",['USA']
tt0040724,"['Action', 'Adventure', 'Romance']",['USA']
tt0040823,"['Drama', 'Film-Noir', 'Mystery']",['USA']
tt0040872,"['Crime', 'Film-Noir', 'Romance']",['USA']
tt0040897,"['Adventure', 'Drama', 'Western']","['USA', 'Mexico']"
tt0041090,"['Comedy', 'Drama', 'Romance']",['USA']
tt0042192,['Drama'],['USA']
tt0042208,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0043014,"['Drama', 'Film-Noir']",['USA']
tt0043338,"['Drama', 'Film-Noir']",['USA']
tt0043456,"['Drama', 'Sci-Fi']",['USA']
tt0044079,"['Crime', 'Film-Noir', 'Thriller']",['USA']
tt0044081,['Drama'],['USA']
tt0044509,"['Drama', 'Romance']",['USA']
tt0044672,"['Drama', 'Family', 'Romance']",['USA']
tt0044685,"['Biography', 'Family', 'Musical']",['USA']
tt0044953,"['Thriller', 'Western']",['USA']
tt0045152,"['Comedy', 'Musical', 'Romance']",['USA']
tt0045920,"['Horror', 'Sci-Fi']",['USA']
tt0046250,"['Comedy', 'Romance']",['USA']
tt0046303,"['Drama', 'Western']",['USA']
tt0046754,"['Crime', 'Drama', 'Mystery']","['Italy', 'USA']"
tt0046816,"['Drama', 'War']",['USA']
tt0046876,"['Horror', 'Sci-Fi']",['USA']
tt0046912,"['Crime', 'Thriller']",['USA']
tt0047296,"['Crime', 'Drama', 'Thriller']",['USA']
tt0047396,"['Mystery', 'Thriller']",['USA']
tt0047472,"['Comedy', 'Drama', 'Musical']",['USA']
tt0047795,"['Action', 'Adventure', 'Comedy']",['USA']
tt0048028,['Drama'],['USA']
tt0048254,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0048356,"['Drama', 'Romance']",['USA']
tt0048380,"['Comedy', 'Drama', 'War']",['USA']
tt0048424,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0048545,['Drama'],['USA']
tt0048605,"['Comedy', 'Romance']",['USA']
tt0048801,"['Comedy', 'Crime', 'Romance']",['USA']
tt0049096,"['Adventure', 'Comedy', 'Family']",['USA']
tt0049406,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0049414,"['Crime', 'Film-Noir', 'Mystery']",['USA']
tt0049730,"['Adventure', 'Drama', 'Western']",['USA']
tt0049833,"['Adventure', 'Drama']",['USA']
tt0049934,"['Drama', 'Romance', 'War']","['USA', 'Italy']"
tt0050083,['Drama'],['USA']
tt0050212,"['Adventure', 'Drama', 'War']","['UK', 'USA']"
tt0050419,"['Comedy', 'Musical', 'Romance']",['USA']
tt0050468,"['Biography', 'Drama', 'Western']",['USA']
tt0050825,"['Drama', 'War']",['USA']
tt0051036,"['Drama', 'Film-Noir']",['USA']
tt0051201,"['Crime', 'Drama', 'Film-Noir']",['USA']
tt0051364,"['Drama', 'Romance', 'War']",['UK']
tt0051411,"['Romance', 'Western']",['USA']
tt0051436,"['Adventure', 'Drama', 'History']",['USA']
tt0051525,"['Crime', 'Drama']",['USA']
tt0051745,"['Comedy', 'Drama', 'Family']",['USA']
tt0051786,"['Horror', 'Sci-Fi', 'Thriller']",['USA']
tt0051878,['Drama'],['USA']
tt0052357,"['Mystery', 'Romance', 'Thriller']",['USA']
tt0052564,"['Adventure', 'Sci-Fi']",['USA']
tt0052618,"['Adventure', 'Drama', 'History']",['USA']
tt0052832,"['Drama', 'Romance']",['USA']
tt0052896,"['Comedy', 'Drama']",['USA']
tt0053125,"['Adventure', 'Mystery', 'Thriller']",['USA']
tt0053291,"['Comedy', 'Music', 'Romance']",['USA']
tt0053604,"['Comedy', 'Drama', 'Romance']",['USA']
tt0053946,"['Biography', 'Drama', 'History']",['USA']
tt0054047,"['Action', 'Adventure', 'Western']",['USA']
tt0054135,"['Comedy', 'Crime', 'Music']",['USA']
tt0054215,"['Horror', 'Mystery', 'Thriller']",['USA']
tt0054331,"['Adventure', 'Biography', 'Drama']",['USA']
tt0054428,"['Drama', 'Romance', 'Western']",['USA']
tt0054698,"['Comedy', 'Drama', 'Romance']",['USA']
